loan_id,user_id,library_id,book_id,loan_date,due_date,return_date
480,27,2,177,2022-10-17,2022-10-31,2022-10-23
481,23,3,180,2021-08-14,2021-08-28,2021-08-26
482,17,1,196,2022-03-13,2022-03-27,2022-03-26
483,14,2,130,2021-12-01,2021-12-15,2021-12-09
484,18,0,162,2023-12-07,2023-12-21,2023-12-19
485,25,0,86,2022-04-15,2022-04-29,2022-04-24
486,29,3,75,2023-08-28,2023-09-11,2023-09-10
487,25,1,74,2022-05-21,2022-06-04,2022-05-30
488,24,4,174,2023-04-26,2023-05-10,2023-05-05
489,1,2,169,2024-01-03,2024-01-17,2024-01-16
490,25,2,167,2022-11-18,2022-12-02,2022-12-02
491,7,1,77,2023-08-09,2023-08-23,2023-08-21
492,0,4,191,2022-04-03,2022-04-17,2022-04-08
493,5,0,142,2022-06-27,2022-07-11,2022-07-07
494,0,0,75,2021-11-18,2021-12-02,2021-11-23
495,13,4,87,2023-03-01,2023-03-15,2023-03-09
496,9,0,189,2023-09-01,2023-09-15,2023-09-13
497,14,1,20,2021-11-07,2021-11-21,2021-11-12
498,1,1,6,2023-07-06,2023-07-20,2023-07-12
499,14,2,123,2023-01-22,2023-02-05,2023-02-03
